shuffling training dataset in 2679.02 ms (epoch=0)
  0 7241.78 ms run, 7240.73 ms python,    1.05 ms CUDA, 1185.37 loss, 0.000015 LR, 0.89 GB used,     90.90 GFLOPS,    658.26 GOPS
 18   69.69 ms run,    3.86 ms python,   65.83 ms CUDA,  998.01 loss, 0.000284 LR, 2.09 GB used,   9397.40 GFLOPS,    654.88 GOPS
 19   70.84 ms run,    3.88 ms python,   66.97 ms CUDA,  987.01 loss, 0.000299 LR, 2.09 GB used,   9244.00 GFLOPS,    654.88 GOPS
 20   70.29 ms run,    3.95 ms python,   66.34 ms CUDA, 1003.74 loss, 0.000314 LR, 2.09 GB used,   9317.26 GFLOPS,    654.88 GOPS
 21   71.07 ms run,    3.77 ms python,   67.30 ms CUDA,  982.17 loss, 0.000329 LR, 2.09 GB used,   9214.00 GFLOPS,    654.88 GOPS
 22   70.96 ms run,    3.88 ms python,   67.08 ms CUDA, 1002.98 loss, 0.000344 LR, 2.09 GB used,   9229.14 GFLOPS,    654.88 GOPS
 23   70.59 ms run,    3.84 ms python,   66.74 ms CUDA,  961.67 loss, 0.000359 LR, 2.09 GB used,   9277.83 GFLOPS,    654.88 GOPS
 24   71.21 ms run,    3.90 ms python,   67.32 ms CUDA,  950.50 loss, 0.000374 LR, 2.09 GB used,   9195.97 GFLOPS,    654.88 GOPS
 25   70.24 ms run,    3.85 ms python,   66.39 ms CUDA,  948.43 loss, 0.000389 LR, 2.09 GB used,   9323.27 GFLOPS,    654.88 GOPS
 26   71.26 ms run,    3.79 ms python,   67.47 ms CUDA,  945.43 loss, 0.000404 LR, 2.09 GB used,   9189.73 GFLOPS,    654.88 GOPS
 27   70.25 ms run,    3.87 ms python,   66.38 ms CUDA,  953.29 loss, 0.000418 LR, 2.09 GB used,   9321.71 GFLOPS,    654.88 GOPS
 28   71.00 ms run,    3.82 ms python,   67.18 ms CUDA,  926.72 loss, 0.000433 LR, 2.09 GB used,   9223.67 GFLOPS,    654.88 GOPS
 29   70.22 ms run,    3.89 ms python,   66.33 ms CUDA,  882.54 loss, 0.000448 LR, 2.09 GB used,   9326.35 GFLOPS,    654.88 GOPS
 30   71.27 ms run,    3.84 ms python,   67.43 ms CUDA,  875.24 loss, 0.000463 LR, 2.09 GB used,   9189.05 GFLOPS,    654.88 GOPS
 31   70.46 ms run,    3.86 ms python,   66.61 ms CUDA,  917.86 loss, 0.000478 LR, 2.09 GB used,   9293.69 GFLOPS,    654.88 GOPS
 32   71.40 ms run,    3.89 ms python,   67.50 ms CUDA,  935.34 loss, 0.000493 LR, 2.09 GB used,   9172.28 GFLOPS,    654.88 GOPS
 33   70.89 ms run,    3.87 ms python,   67.02 ms CUDA,  886.29 loss, 0.000508 LR, 2.09 GB used,   9237.91 GFLOPS,    654.88 GOPS
 34   71.29 ms run,    3.88 ms python,   67.41 ms CUDA,  885.07 loss, 0.000523 LR, 2.09 GB used,   9185.55 GFLOPS,    654.88 GOPS
 35   71.82 ms run,    3.91 ms python,   67.92 ms CUDA,  874.65 loss, 0.000538 LR, 2.09 GB used,   9117.83 GFLOPS,    654.88 GOPS
 36   70.47 ms run,    3.82 ms python,   66.65 ms CUDA,  874.90 loss, 0.000553 LR, 2.09 GB used,   9292.99 GFLOPS,    654.88 GOPS
 37   70.56 ms run,    3.66 ms python,   66.90 ms CUDA,  908.91 loss, 0.000568 LR, 2.09 GB used,   9281.67 GFLOPS,    654.88 GOPS
 38   70.42 ms run,    3.85 ms python,   66.57 ms CUDA,  880.39 loss, 0.000583 LR, 2.09 GB used,   9299.35 GFLOPS,    654.88 GOPS
 39   71.08 ms run,    3.87 ms python,   67.21 ms CUDA,  870.75 loss, 0.000598 LR, 2.09 GB used,   9213.04 GFLOPS,    654.88 GOPS
 40   70.30 ms run,    3.87 ms python,   66.44 ms CUDA,  843.06 loss, 0.000613 LR, 2.09 GB used,   9314.85 GFLOPS,    654.88 GOPS
 41   71.02 ms run,    3.90 ms python,   67.12 ms CUDA,  871.20 loss, 0.000628 LR, 2.09 GB used,   9221.14 GFLOPS,    654.88 GOPS
 42   69.63 ms run,    3.85 ms python,   65.78 ms CUDA,  877.19 loss, 0.000643 LR, 2.09 GB used,   9405.50 GFLOPS,    654.88 GOPS
 43   71.41 ms run,    3.84 ms python,   67.57 ms CUDA,  910.27 loss, 0.000658 LR, 2.09 GB used,   9170.89 GFLOPS,    654.88 GOPS
 44   70.72 ms run,    3.85 ms python,   66.87 ms CUDA,  847.39 loss, 0.000673 LR, 2.09 GB used,   9260.58 GFLOPS,    654.88 GOPS
 45   71.04 ms run,    3.90 ms python,   67.14 ms CUDA,  853.80 loss, 0.000688 LR, 2.09 GB used,   9218.63 GFLOPS,    654.88 GOPS
 46   71.16 ms run,    3.93 ms python,   67.23 ms CUDA,  850.02 loss, 0.000702 LR, 2.09 GB used,   9203.29 GFLOPS,    654.88 GOPS
 47   70.61 ms run,    3.88 ms python,   66.74 ms CUDA,  822.08 loss, 0.000717 LR, 2.09 GB used,   9274.42 GFLOPS,    654.88 GOPS
 48   71.43 ms run,    3.87 ms python,   67.55 ms CUDA,  820.11 loss, 0.000732 LR, 2.09 GB used,   9168.39 GFLOPS,    654.88 GOPS
 49   70.47 ms run,    3.92 ms python,   66.55 ms CUDA,  803.33 loss, 0.000747 LR, 2.09 GB used,   9293.59 GFLOPS,    654.88 GOPS
 50   71.23 ms run,    3.85 ms python,   67.38 ms CUDA,  788.59 loss, 0.000762 LR, 2.09 GB used,   9193.46 GFLOPS,    654.88 GOPS
 51   70.58 ms run,    3.98 ms python,   66.60 ms CUDA,  819.25 loss, 0.000777 LR, 2.09 GB used,   9278.68 GFLOPS,    654.88 GOPS
 52   71.43 ms run,    3.95 ms python,   67.48 ms CUDA,  798.29 loss, 0.000792 LR, 2.09 GB used,   9168.00 GFLOPS,    654.88 GOPS
 53   70.34 ms run,    3.94 ms python,   66.39 ms CUDA,  759.69 loss, 0.000807 LR, 2.09 GB used,   9310.75 GFLOPS,    654.88 GOPS
 54   71.47 ms run,    3.87 ms python,   67.60 ms CUDA,  812.85 loss, 0.000822 LR, 2.09 GB used,   9163.25 GFLOPS,    654.88 GOPS
 55   71.01 ms run,    3.88 ms python,   67.13 ms CUDA,  783.94 loss, 0.000837 LR, 2.09 GB used,   9221.91 GFLOPS,    654.88 GOPS
 56   71.00 ms run,    3.90 ms python,   67.10 ms CUDA,  797.21 loss, 0.000852 LR, 2.09 GB used,   9224.03 GFLOPS,    654.88 GOPS
 57   70.95 ms run,    3.86 ms python,   67.09 ms CUDA,  766.29 loss, 0.000867 LR, 2.09 GB used,   9229.64 GFLOPS,    654.88 GOPS
 58   70.83 ms run,    3.92 ms python,   66.92 ms CUDA,  763.95 loss, 0.000882 LR, 2.09 GB used,   9245.37 GFLOPS,    654.88 GOPS
 59   71.40 ms run,    3.67 ms python,   67.72 ms CUDA,  785.17 loss, 0.000897 LR, 2.09 GB used,   9172.31 GFLOPS,    654.88 GOPS
 60   70.61 ms run,    3.89 ms python,   66.73 ms CUDA,  757.06 loss, 0.000912 LR, 2.09 GB used,   9274.09 GFLOPS,    654.88 GOPS
 61   70.89 ms run,    4.01 ms python,   66.89 ms CUDA,  779.23 loss, 0.000927 LR, 2.09 GB used,   9237.44 GFLOPS,    654.88 GOPS
 62   70.27 ms run,    3.85 ms python,   66.42 ms CUDA,  819.38 loss, 0.000942 LR, 2.09 GB used,   9319.67 GFLOPS,    654.88 GOPS
 63   71.66 ms run,    3.88 ms python,   67.78 ms CUDA,  806.86 loss, 0.000957 LR, 2.09 GB used,   9138.73 GFLOPS,    654.88 GOPS
 64   70.04 ms run,    3.61 ms python,   66.44 ms CUDA,  787.92 loss, 0.000971 LR, 2.09 GB used,   9349.62 GFLOPS,    654.88 GOPS
 65   71.68 ms run,    3.77 ms python,   67.91 ms CUDA,  774.64 loss, 0.000986 LR, 2.09 GB used,   9136.20 GFLOPS,    654.88 GOPS
 66   70.94 ms run,    3.85 ms python,   67.09 ms CUDA,  768.70 loss, 0.001001 LR, 2.09 GB used,   9231.74 GFLOPS,    654.88 GOPS
 67   70.72 ms run,    3.78 ms python,   66.94 ms CUDA,  743.81 loss, 0.001016 LR, 2.09 GB used,   9259.91 GFLOPS,    654.88 GOPS
 68   71.21 ms run,    3.80 ms python,   67.40 ms CUDA,  765.79 loss, 0.001031 LR, 2.09 GB used,   9196.91 GFLOPS,    654.88 GOPS
 69   70.62 ms run,    3.69 ms python,   66.93 ms CUDA,  778.99 loss, 0.001046 LR, 2.09 GB used,   9272.64 GFLOPS,    654.88 GOPS
 70   71.58 ms run,    3.99 ms python,   67.59 ms CUDA,  754.42 loss, 0.001061 LR, 2.09 GB used,   9148.53 GFLOPS,    654.88 GOPS
 71   70.27 ms run,    3.90 ms python,   66.37 ms CUDA,  750.47 loss, 0.001076 LR, 2.09 GB used,   9319.50 GFLOPS,    654.88 GOPS
 72   71.11 ms run,    3.86 ms python,   67.25 ms CUDA,  752.80 loss, 0.001091 LR, 2.09 GB used,   9209.55 GFLOPS,    654.88 GOPS
 73   70.43 ms run,    3.91 ms python,   66.53 ms CUDA,  781.98 loss, 0.001106 LR, 2.09 GB used,   9297.99 GFLOPS,    654.88 GOPS
 74   71.87 ms run,    3.90 ms python,   67.97 ms CUDA,  753.12 loss, 0.001121 LR, 2.09 GB used,   9112.53 GFLOPS,    654.88 GOPS
 75   71.05 ms run,    3.92 ms python,   67.13 ms CUDA,  739.17 loss, 0.001136 LR, 2.09 GB used,   9217.66 GFLOPS,    654.88 GOPS
 76   71.49 ms run,    3.80 ms python,   67.69 ms CUDA,  746.60 loss, 0.001151 LR, 2.09 GB used,   9160.73 GFLOPS,    654.88 GOPS
 77   71.84 ms run,    3.88 ms python,   67.97 ms CUDA,  719.02 loss, 0.001166 LR, 2.09 GB used,   9115.56 GFLOPS,    654.88 GOPS
 78   70.56 ms run,    3.66 ms python,   66.90 ms CUDA,  726.95 loss, 0.001181 LR, 2.09 GB used,   9281.02 GFLOPS,    654.88 GOPS
 79   71.79 ms run,    3.91 ms python,   67.88 ms CUDA,  738.33 loss, 0.001196 LR, 2.09 GB used,   9121.65 GFLOPS,    654.88 GOPS
 80   72.52 ms run,    3.88 ms python,   68.64 ms CUDA,  734.84 loss, 0.001211 LR, 2.09 GB used,   9030.48 GFLOPS,    654.88 GOPS
 81   72.06 ms run,    3.90 ms python,   68.17 ms CUDA,  702.56 loss, 0.001226 LR, 2.09 GB used,   9087.42 GFLOPS,    654.88 GOPS
 82   70.41 ms run,    3.86 ms python,   66.55 ms CUDA,  720.51 loss, 0.001240 LR, 2.09 GB used,   9300.65 GFLOPS,    654.88 GOPS
 83   68.83 ms run,    3.60 ms python,   65.23 ms CUDA,  723.37 loss, 0.001255 LR, 2.09 GB used,   9515.04 GFLOPS,    654.88 GOPS
 84   70.92 ms run,    3.88 ms python,   67.05 ms CUDA,  699.89 loss, 0.001270 LR, 2.09 GB used,   9233.71 GFLOPS,    654.88 GOPS
 85   71.17 ms run,    3.89 ms python,   67.29 ms CUDA,  688.63 loss, 0.001285 LR, 2.09 GB used,   9201.25 GFLOPS,    654.88 GOPS
 86   72.17 ms run,    3.85 ms python,   68.32 ms CUDA,  710.91 loss, 0.001300 LR, 2.09 GB used,   9074.22 GFLOPS,    654.88 GOPS
 87   71.08 ms run,    3.82 ms python,   67.26 ms CUDA,  724.09 loss, 0.001315 LR, 2.09 GB used,   9213.14 GFLOPS,    654.88 GOPS
 88   71.72 ms run,    3.72 ms python,   68.00 ms CUDA,  736.71 loss, 0.001330 LR, 2.09 GB used,   9131.29 GFLOPS,    654.88 GOPS
 89   70.59 ms run,    3.88 ms python,   66.71 ms CUDA,  702.19 loss, 0.001345 LR, 2.09 GB used,   9276.82 GFLOPS,    654.88 GOPS
 90   71.75 ms run,    3.79 ms python,   67.96 ms CUDA,  693.36 loss, 0.001360 LR, 2.09 GB used,   9127.23 GFLOPS,    654.88 GOPS
 91   71.17 ms run,    3.91 ms python,   67.26 ms CUDA,  758.85 loss, 0.001375 LR, 2.09 GB used,   9201.49 GFLOPS,    654.88 GOPS
 92   71.61 ms run,    3.89 ms python,   67.72 ms CUDA,  707.37 loss, 0.001390 LR, 2.09 GB used,   9144.80 GFLOPS,    654.88 GOPS
 93   72.38 ms run,    3.82 ms python,   68.56 ms CUDA,  706.55 loss, 0.001405 LR, 2.09 GB used,   9048.29 GFLOPS,    654.88 GOPS
 94   70.91 ms run,    3.85 ms python,   67.06 ms CUDA,  722.30 loss, 0.001420 LR, 2.09 GB used,   9235.85 GFLOPS,    654.88 GOPS
 95   71.53 ms run,    3.76 ms python,   67.77 ms CUDA,  710.65 loss, 0.001435 LR, 2.09 GB used,   9154.95 GFLOPS,    654.88 GOPS
 96   71.14 ms run,    4.01 ms python,   67.13 ms CUDA,  693.79 loss, 0.001450 LR, 2.09 GB used,   9206.00 GFLOPS,    654.88 GOPS
 97   72.45 ms run,    4.34 ms python,   68.10 ms CUDA,  669.75 loss, 0.001465 LR, 2.09 GB used,   9039.42 GFLOPS,    654.88 GOPS
shuffling training dataset in 1847.96 ms (epoch=1)
 98 1916.27 ms run, 1852.59 ms python,   63.68 ms CUDA,  716.43 loss, 0.001480 LR, 2.09 GB used,    342.53 GFLOPS,    656.38 GOPS
 99   69.44 ms run,    4.16 ms python,   65.28 ms CUDA,  721.54 loss, 0.001495 LR, 2.09 GB used,   9431.27 GFLOPS,    654.88 GOPS
100   71.33 ms run,    3.91 ms python,   67.41 ms CUDA,  693.70 loss, 0.001510 LR, 2.09 GB used,   9181.39 GFLOPS,    654.88 GOPS
101   70.28 ms run,    4.06 ms python,   66.22 ms CUDA,  739.90 loss, 0.001524 LR, 2.09 GB used,   9317.50 GFLOPS,    654.88 GOPS
102   71.46 ms run,    4.00 ms python,   67.46 ms CUDA,  697.12 loss, 0.001539 LR, 2.09 GB used,   9163.72 GFLOPS,    654.88 GOPS
103   71.17 ms run,    3.91 ms python,   67.26 ms CUDA,  680.19 loss, 0.001554 LR, 2.09 GB used,   9202.02 GFLOPS,    654.88 GOPS
104   70.96 ms run,    3.95 ms python,   67.02 ms CUDA,  677.33 loss, 0.001569 LR, 2.09 GB used,   9228.58 GFLOPS,    654.88 GOPS
105   71.90 ms run,    3.70 ms python,   68.19 ms CUDA,  685.60 loss, 0.001584 LR, 2.09 GB used,   9108.77 GFLOPS,    654.88 GOPS
106   71.20 ms run,    3.96 ms python,   67.24 ms CUDA,  704.08 loss, 0.001599 LR, 2.09 GB used,   9197.50 GFLOPS,    654.88 GOPS
107   72.45 ms run,    4.01 ms python,   68.45 ms CUDA,  672.32 loss, 0.001614 LR, 2.09 GB used,   9038.58 GFLOPS,    654.88 GOPS
108   70.16 ms run,    3.91 ms python,   66.25 ms CUDA,  672.62 loss, 0.001629 LR, 2.09 GB used,   9334.59 GFLOPS,    654.88 GOPS
109   71.51 ms run,    3.63 ms python,   67.87 ms CUDA,  675.35 loss, 0.001644 LR, 2.09 GB used,   9158.45 GFLOPS,    654.88 GOPS
110   71.14 ms run,    3.86 ms python,   67.28 ms CUDA,  691.99 loss, 0.001659 LR, 2.09 GB used,   9205.34 GFLOPS,    654.88 GOPS
111   71.38 ms run,    3.97 ms python,   67.40 ms CUDA,  677.98 loss, 0.001674 LR, 2.09 GB used,   9175.18 GFLOPS,    654.88 GOPS
112   72.89 ms run,    3.94 ms python,   68.95 ms CUDA,  699.09 loss, 0.001689 LR, 2.09 GB used,   8984.98 GFLOPS,    654.88 GOPS
113   71.00 ms run,    3.90 ms python,   67.10 ms CUDA,  698.86 loss, 0.001704 LR, 2.09 GB used,   9223.50 GFLOPS,    654.88 GOPS
114   70.83 ms run,    3.83 ms python,   67.00 ms CUDA,  687.59 loss, 0.001719 LR, 2.09 GB used,   9246.28 GFLOPS,    654.88 GOPS
115   70.69 ms run,    3.89 ms python,   66.80 ms CUDA,  684.41 loss, 0.001734 LR, 2.09 GB used,   9264.07 GFLOPS,    654.88 GOPS
116   71.99 ms run,    3.96 ms python,   68.04 ms CUDA,  668.07 loss, 0.001749 LR, 2.09 GB used,   9096.51 GFLOPS,    654.88 GOPS
117   71.19 ms run,    3.98 ms python,   67.20 ms CUDA,  697.00 loss, 0.001764 LR, 2.09 GB used,   9199.64 GFLOPS,    654.88 GOPS
118   71.41 ms run,    3.89 ms python,   67.52 ms CUDA,  664.11 loss, 0.001779 LR, 2.09 GB used,   9170.82 GFLOPS,    654.88 GOPS
119   72.20 ms run,    3.91 ms python,   68.30 ms CUDA,  668.74 loss, 0.001793 LR, 2.09 GB used,   9070.26 GFLOPS,    654.88 GOPS
120   71.06 ms run,    3.91 ms python,   67.14 ms CUDA,  677.39 loss, 0.001808 LR, 2.09 GB used,   9216.01 GFLOPS,    654.88 GOPS
121   71.71 ms run,    3.92 ms python,   67.79 ms CUDA,  647.77 loss, 0.001823 LR, 2.09 GB used,   9132.57 GFLOPS,    654.88 GOPS
122   71.35 ms run,    3.85 ms python,   67.50 ms CUDA,  664.22 loss, 0.001838 LR, 2.09 GB used,   9177.93 GFLOPS,    654.88 GOPS
123   72.09 ms run,    3.87 ms python,   68.22 ms CUDA,  675.63 loss, 0.001853 LR, 2.09 GB used,   9084.14 GFLOPS,    654.88 GOPS
124   71.65 ms run,    3.96 ms python,   67.68 ms CUDA,  667.24 loss, 0.001868 LR, 2.09 GB used,   9140.37 GFLOPS,    654.88 GOPS
125   71.36 ms run,    3.85 ms python,   67.51 ms CUDA,  660.95 loss, 0.001883 LR, 2.09 GB used,   9177.58 GFLOPS,    654.88 GOPS
126   72.35 ms run,    3.90 ms python,   68.44 ms CUDA,  663.21 loss, 0.001898 LR, 2.09 GB used,   9051.56 GFLOPS,    654.88 GOPS
127   71.11 ms run,    3.90 ms python,   67.21 ms CUDA,  671.11 loss, 0.001913 LR, 2.09 GB used,   9209.21 GFLOPS,    654.88 GOPS
128   71.72 ms run,    3.74 ms python,   67.98 ms CUDA,  650.44 loss, 0.001928 LR, 2.09 GB used,   9130.72 GFLOPS,    654.88 GOPS
129   71.07 ms run,    3.77 ms python,   67.30 ms CUDA,  632.39 loss, 0.001943 LR, 2.09 GB used,   9214.80 GFLOPS,    654.88 GOPS
130   71.27 ms run,    3.74 ms python,   67.53 ms CUDA,  650.29 loss, 0.001958 LR, 2.09 GB used,   9188.92 GFLOPS,    654.88 GOPS
131   72.17 ms run,    3.90 ms python,   68.27 ms CUDA,  649.03 loss, 0.001973 LR, 2.09 GB used,   9074.24 GFLOPS,    654.88 GOPS
132   71.45 ms run,    3.94 ms python,   67.51 ms CUDA,  668.95 loss, 0.001988 LR, 2.09 GB used,   9166.07 GFLOPS,    654.88 GOPS
133   72.16 ms run,    3.92 ms python,   68.24 ms CUDA,  650.22 loss, 0.002003 LR, 2.09 GB used,   9074.89 GFLOPS,    654.88 GOPS
134   71.03 ms run,    3.85 ms python,   67.18 ms CUDA,  655.50 loss, 0.002018 LR, 2.09 GB used,   9219.56 GFLOPS,    654.88 GOPS
135   72.04 ms run,    3.94 ms python,   68.10 ms CUDA,  652.64 loss, 0.002033 LR, 2.09 GB used,   9090.26 GFLOPS,    654.88 GOPS
136   71.60 ms run,    3.89 ms python,   67.71 ms CUDA,  685.58 loss, 0.002048 LR, 2.09 GB used,   9146.66 GFLOPS,    654.88 GOPS
137   71.33 ms run,    3.71 ms python,   67.62 ms CUDA,  669.69 loss, 0.002063 LR, 2.09 GB used,   9181.12 GFLOPS,    654.88 GOPS
138   72.28 ms run,    3.87 ms python,   68.40 ms CUDA,  670.98 loss, 0.002077 LR, 2.09 GB used,   9060.69 GFLOPS,    654.88 GOPS
139   70.96 ms run,    3.80 ms python,   67.16 ms CUDA,  672.70 loss, 0.002092 LR, 2.09 GB used,   9229.30 GFLOPS,    654.88 GOPS
140   71.93 ms run,    3.82 ms python,   68.11 ms CUDA,  694.44 loss, 0.002107 LR, 2.09 GB used,   9104.60 GFLOPS,    654.88 GOPS
141   71.23 ms run,    3.96 ms python,   67.27 ms CUDA,  673.76 loss, 0.002122 LR, 2.09 GB used,   9193.97 GFLOPS,    654.88 GOPS
142   71.83 ms run,    3.77 ms python,   68.06 ms CUDA,  681.24 loss, 0.002137 LR, 2.09 GB used,   9116.91 GFLOPS,    654.88 GOPS
143   72.66 ms run,    3.96 ms python,   68.70 ms CUDA,  667.82 loss, 0.002152 LR, 2.09 GB used,   9012.67 GFLOPS,    654.88 GOPS
144   71.37 ms run,    3.89 ms python,   67.47 ms CUDA,  651.36 loss, 0.002167 LR, 2.09 GB used,   9176.14 GFLOPS,    654.88 GOPS
145   72.09 ms run,    3.89 ms python,   68.20 ms CUDA,  640.86 loss, 0.002182 LR, 2.09 GB used,   9084.67 GFLOPS,    654.88 GOPS
146   71.39 ms run,    3.91 ms python,   67.48 ms CUDA,  666.77 loss, 0.002197 LR, 2.09 GB used,   9173.74 GFLOPS,    654.88 GOPS
147   71.90 ms run,    3.85 ms python,   68.05 ms CUDA,  663.58 loss, 0.002212 LR, 2.09 GB used,   9107.86 GFLOPS,    654.88 GOPS
148   71.78 ms run,    3.88 ms python,   67.90 ms CUDA,  659.44 loss, 0.002227 LR, 2.09 GB used,   9122.87 GFLOPS,    654.88 GOPS
149   71.40 ms run,    3.86 ms python,   67.54 ms CUDA,  651.42 loss, 0.002242 LR, 2.09 GB used,   9171.59 GFLOPS,    654.88 GOPS
150   72.20 ms run,    3.74 ms python,   68.45 ms CUDA,  659.96 loss, 0.002257 LR, 2.09 GB used,   9070.75 GFLOPS,    654.88 GOPS
151   71.39 ms run,    3.63 ms python,   67.77 ms CUDA,  645.60 loss, 0.002272 LR, 2.09 GB used,   9173.05 GFLOPS,    654.88 GOPS
152   72.61 ms run,    3.90 ms python,   68.71 ms CUDA,  676.62 loss, 0.002287 LR, 2.09 GB used,   9018.65 GFLOPS,    654.88 GOPS
153   71.53 ms run,    3.87 ms python,   67.65 ms CUDA,  704.22 loss, 0.002302 LR, 2.09 GB used,   9155.77 GFLOPS,    654.88 GOPS
154   71.16 ms run,    3.90 ms python,   67.27 ms CUDA,  676.33 loss, 0.002317 LR, 2.09 GB used,   9202.90 GFLOPS,    654.88 GOPS
155   72.16 ms run,    3.87 ms python,   68.29 ms CUDA,  672.35 loss, 0.002332 LR, 2.09 GB used,   9075.23 GFLOPS,    654.88 GOPS
156   71.13 ms run,    3.79 ms python,   67.34 ms CUDA,  673.21 loss, 0.002346 LR, 2.09 GB used,   9207.33 GFLOPS,    654.88 GOPS
157   72.17 ms run,    3.93 ms python,   68.24 ms CUDA,  687.39 loss, 0.002361 LR, 2.09 GB used,   9073.86 GFLOPS,    654.88 GOPS
158   71.36 ms run,    3.84 ms python,   67.52 ms CUDA,  657.59 loss, 0.002376 LR, 2.09 GB used,   9177.01 GFLOPS,    654.88 GOPS
159   71.73 ms run,    3.92 ms python,   67.81 ms CUDA,  640.71 loss, 0.002391 LR, 2.09 GB used,   9129.71 GFLOPS,    654.88 GOPS
160   72.55 ms run,    3.77 ms python,   68.77 ms CUDA,  653.67 loss, 0.002406 LR, 2.09 GB used,   9027.14 GFLOPS,    654.88 GOPS
161   71.44 ms run,    3.88 ms python,   67.56 ms CUDA,  650.53 loss, 0.002421 LR, 2.09 GB used,   9166.94 GFLOPS,    654.88 GOPS
162   71.98 ms run,    3.92 ms python,   68.06 ms CUDA,  652.67 loss, 0.002436 LR, 2.09 GB used,   9098.34 GFLOPS,    654.88 GOPS
163   71.07 ms run,    3.88 ms python,   67.19 ms CUDA,  660.83 loss, 0.002451 LR, 2.09 GB used,   9214.99 GFLOPS,    654.88 GOPS
164   71.85 ms run,    3.80 ms python,   68.05 ms CUDA,  688.01 loss, 0.002466 LR, 2.09 GB used,   9114.19 GFLOPS,    654.88 GOPS
165   71.80 ms run,    3.85 ms python,   67.96 ms CUDA,  666.60 loss, 0.002481 LR, 2.09 GB used,   9120.38 GFLOPS,    654.88 GOPS
166   71.34 ms run,    3.85 ms python,   67.49 ms CUDA,  710.64 loss, 0.002496 LR, 2.09 GB used,   9179.90 GFLOPS,    654.88 GOPS
167   72.30 ms run,    3.97 ms python,   68.33 ms CUDA,  666.44 loss, 0.002511 LR, 2.09 GB used,   9058.09 GFLOPS,    654.88 GOPS
168   71.53 ms run,    3.86 ms python,   67.67 ms CUDA,  667.93 loss, 0.002526 LR, 2.09 GB used,   9155.69 GFLOPS,    654.88 GOPS
169   72.35 ms run,    3.75 ms python,   68.60 ms CUDA,  663.91 loss, 0.002541 LR, 2.09 GB used,   9051.23 GFLOPS,    654.88 GOPS
170   71.84 ms run,    3.89 ms python,   67.95 ms CUDA,  670.49 loss, 0.002556 LR, 2.09 GB used,   9116.38 GFLOPS,    654.88 GOPS
